COMM_NAME,COMM_CODE,COMM_WT,Index:2012-13,Index:2013-14,Index:2014-15,Index:2015-16,Index:2016-17,Index:2017-18,Index:2018-19,Index:2019-20,Index:2020-21,Index:2021-22,Index:2022-23
c. Processing and preserving of fruit and vegetables,1301030000,0.13809,105.25,109.2,113.7,118.55000000000001,119.80000000000001,117.4,114.0,116.4,121.15,123.44999999999999,125.8
Fruit Juice including concentrates,1301030001,0.04695,104.35,107.05000000000001,106.80000000000001,111.0,111.65,110.6,105.6,107.4,110.05000000000001,111.55000000000001,112.2
Fruit pulp,1301030002,0.03326,106.44999999999999,111.5,118.05000000000001,123.15,121.5,114.0,107.15,108.05,110.05,114.4,120.7
"Jams, jellies, marmalades and puree",1301030003,0.02391,108.8,115.15,121.85,132.0,140.0,146.35,148.14999999999998,152.45,160.8,160.5,158.2
"Sauces of Vegetables (Tomato, Chilli, Soya & others)",1301030004,0.03397,102.85,105.6,113.1,114.85,115.19999999999999,109.69999999999999,108.1,111.8,119.4,122.75,126.6
d. Manufacture of vegetable and animal oils and fats,1301040000,2.64293,104.5,103.9,100.5,101.45,107.65,113.45,116.6,126.9,162.1,188.14999999999998,181.9
Vanaspati,1301040001,0.37937,101.7,103.15,100.65,100.15,108.5,115.19999999999999,121.4,130.95,153.25,171.9,167.8
Mustard Oil,1301040002,0.18053,112.15,106.69999999999999,116.2,124.55,121.5,120.9,124.3,137.2,183.65,214.05,197.5
Soyabean Oil,1301040003,0.34251,109.55000000000001,105.55000000000001,100.75,100.7,104.7,109.05,112.4,119.15,153.05,181.7,178.7
Sunflower Oil,1301040004,0.23133,107.0,101.69999999999999,97.4,102.85,104.05,106.2,110.55000000000001,117.85,147.8,165.5,166.0
Groundnut Oil,1301040005,0.05834,117.85,98.19999999999999,100.85,114.05000000000001,115.3,107.95,113.8,129.6,152.3,166.10000000000002,175.9
Castor Oil,1301040006,0.02955,93.85,100.65,101.65,95.55000000000001,100.5,108.1,116.15,112.19999999999999,121.5,151.45,165.6
Rice Bran Oil,1301040007,0.29613,104.75,102.25,100.1,102.15,109.85,117.15,120.65,128.3,166.3,199.5,193.8
Palm Oil,1301040008,1.01507,101.6,103.95,97.0,96.15,105.30000000000001,113.0,114.1,127.5,168.75,197.10000000000002,187.6
Rapeseed Oil,1301040009,0.0116,111.75,107.55,112.1,120.05,115.45,111.35,113.6,123.9,152.5,177.6,163.1
Copra oil,1301040010,0.02769,95.15,128.05,151.35,133.95,141.55,171.10000000000002,176.0,170.25,187.4,184.45,169.7
Cotton seed Oil,1301040011,0.07081,104.6,101.94999999999999,98.05,98.75,100.75,105.5,110.6,118.69999999999999,149.0,175.10000000000002,172.2
e. Manufacture of dairy products,1301050000,1.16545,105.94999999999999,117.80000000000001,123.5,126.1,137.0,139.8,138.45,146.5,147.5,155.5,167.0
Condensed Milk,1301050001,0.02154,113.5,127.25,135.35,139.25,145.3,146.05,142.5,148.5,151.4,149.6,150.1
Ghee,1301050002,0.39349,105.1,115.69999999999999,122.15,124.6,136.89999999999998,142.65,142.14999999999998,149.14999999999998,151.14999999999998,159.2,171.7
Butter,1301050003,0.52138,105.44999999999999,117.35,122.69999999999999,129.55,142.7,145.25,141.45,146.7,146.95,155.25,166.7
Ice cream,1301050004,0.06189,106.85,113.95,121.55000000000001,124.80000000000001,127.30000000000001,128.89999999999998,130.0,133.55,140.5,150.05,154.4
Powder Milk,1301050005,0.16715,108.0,124.4,128.4,117.6,121.94999999999999,119.2,122.95,144.15,142.65,150.35,163.7
